   4.63406390e-04   5.41714227e-04   3.75134413e-04   1.40494535e-04
   0.00000000e+00   3.77053131e-05   1.27406039e-03   7.58678057e-04
   5.32605637e-04   5.88442104e-04   1.04069493e-03   1.30829476e-03
   0.00000000e+00   0.00000000e+00   2.84466064e-04   3.40716822e-04
   4.39363593e-04   1.46737694e-04   2.49151504e-04   3.95361502e-04
   5.72243378e-05   4.45847581e-04   4.01182683e-04   5.45616631e-04
   1.22492155e-04   1.64644635e-04   1.84817273e-04   5.00871536e-05
   1.47750228e-05   4.54960873e-05   2.60176740e-04   3.56407975e-04
   1.58420223e-03   4.00140018e-03   1.01915112e-04   1.41653215e-04
   1.28821502e-03   9.55713564e-04   2.16282140e-03   2.83302340e-03
   1.82225672e-04   5.66033940e-05   7.08289533e-04   4.22918979e-04
   5.18180428e-04   5.65793852e-04   1.32262343e-02   1.35356223e-02
   2.46033342e-04   1.54348799e-04   2.66799436e-04   1.58185972e-04
   9.54233620e-05   3.29911362e-04   3.86733630e-04   1.01235680e-04
   1.86712622e-03   1.81924548e-03   2.15001877e-04   1.35216083e-04
   7.09939718e-04   5.10211224e-04   1.10121095e-03   1.71721014e-03
   4.68174956e-03   5.85763863e-03   1.49575006e-04   6.62101684e-04
   3.00861374e-03   2.79048791e-03   1.98076155e-03   5.78107159e-03
   7.28731072e-05   3.62068075e-04   7.30991685e-04   7.06018269e-04
   4.28617788e-05   5.47263210e-05   2.32559105e-04   4.30650372e-04
   4.84800783e-04   9.43322914e-04   0.00000000e+00   1.55141491e-05
   7.11062876e-04   6.31472012e-04   9.88358489e-04   4.32646870e-04
   5.23389075e-04   5.38552954e-04   1.18195245e-02   1.02717823e-02
   7.71029406e-05   4.56632172e-04   0.00000000e+00   0.00000000e+00
   1.56999796e-04   4.60480490e-04   3.07456488e-04   1.70458542e-04
   1.08369968e-03   1.88321876e-03   1.96344879e-03   9.39791975e-04
   1.70309048e-04   3.59783384e-04   2.40274169e-04   2.89964320e-04
   2.32296465e-03   5.17301764e-03   1.64341867e-03   1.97908681e-03
   2.14823072e-03   2.99042271e-03   1.48190760e-04   3.96202015e-04
   0.00000000e+00   0.00000000e+00   4.96733686e-04   5.95282047e-04
   1.15827692e-03   1.19743715e-03   1.97310780e-03   4.00438228e-03
   5.10825486e-04   1.60920460e-04   9.31168395e-04   9.11684313e-04
   2.74062097e-03   2.73903401e-03   3.11210114e-04   3.63115213e-04
   5.19805212e-04   8.12058059e-04   1.17270569e-03   6.07332733e-04
   0.00000000e+00   0.00000000e+00   4.07887106e-04   2.80598079e-04
   5.17317253e-04   4.01384443e-04   6.72940334e-04   8.16292436e-04
   9.96870371e-04   9.35051033e-04   9.03799063e-04   2.41393367e-04
   5.34413493e-04   8.84363272e-04   3.38100416e-04   3.62687293e-04
   9.25068417e-04   1.02126212e-03   4.67342225e-04   2.85110830e-04
   5.97773088e-04   6.10903568e-04   1.40040449e-03   1.84745959e-03
   0.00000000e+00   4.17744366e-06   3.85700498e-04   1.14830762e-04
