,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_max_features,param_min_samples_leaf,param_n_estimators,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
0,0.577997744083,0.0109337568283,0.699704142012,0.99926035503,auto,1,100,"{'max_features': 'auto', 'n_estimators': 100, 'min_samples_leaf': 1}",8,0.698224852071,0.998520710059,0.662721893491,1.0,0.715976331361,0.998520710059,0.721893491124,1.0,0.0118517858518,0.000906756047907,0.0230598480298,0.000739644970414
1,5.6134057641,0.0998262763023,0.698224852071,0.99926035503,auto,1,1000,"{'max_features': 'auto', 'n_estimators': 1000, 'min_samples_leaf': 1}",10,0.710059171598,0.998520710059,0.674556213018,1.0,0.692307692308,0.998520710059,0.715976331361,1.0,0.0100149954641,0.00163246218204,0.0162048093936,0.000739644970414
2,28.1691332459,0.508668482304,0.701183431953,0.99926035503,auto,1,5000,"{'max_features': 'auto', 'n_estimators': 5000, 'min_samples_leaf': 1}",7,0.710059171598,0.998520710059,0.686390532544,1.0,0.692307692308,0.998520710059,0.715976331361,1.0,0.147211109348,0.0188046620051,0.0121985373539,0.000739644970414
3,0.509396016598,0.0108527541161,0.707100591716,0.942307692308,auto,2,100,"{'max_features': 'auto', 'n_estimators': 100, 'min_samples_leaf': 2}",3,0.698224852071,0.943786982249,0.704142011834,0.942307692308,0.692307692308,0.943786982249,0.733727810651,0.939349112426,0.0152410666146,0.000871682133714,0.0159324402578,0.00181175276833
4,4.93277424574,0.0981115698814,0.708579881657,0.944156804734,auto,2,1000,"{'max_features': 'auto', 'n_estimators': 1000, 'min_samples_leaf': 2}",2,0.704142011834,0.940828402367,0.698224852071,0.945266272189,0.704142011834,0.943786982249,0.727810650888,0.94674556213,0.0315668254744,0.00574548948057,0.0113626416389,0.00218789932807
5,24.8605410457,0.464875817299,0.704142011834,0.94600591716,auto,2,5000,"{'max_features': 'auto', 'n_estimators': 5000, 'min_samples_leaf': 2}",5,0.715976331361,0.942307692308,0.686390532544,0.943786982249,0.692307692308,0.949704142012,0.721893491124,0.948224852071,0.183638604719,0.00504969016939,0.0150858565491,0.00304963433847
6,0.48323404789,0.00979924201965,0.710059171598,0.897559171598,auto,3,100,"{'max_features': 'auto', 'n_estimators': 100, 'min_samples_leaf': 3}",1,0.686390532544,0.890532544379,0.680473372781,0.899408284024,0.715976331361,0.900887573964,0.757396449704,0.899408284024,0.0205163651317,0.000959030503107,0.0304604442041,0.00410152977308
7,4.3111101985,0.0811635255814,0.704142011834,0.903106508876,auto,3,1000,"{'max_features': 'auto', 'n_estimators': 1000, 'min_samples_leaf': 3}",5,0.698224852071,0.903846153846,0.686390532544,0.894970414201,0.710059171598,0.912721893491,0.721893491124,0.900887573964,0.0797165192357,0.00194683155815,0.0132311714645,0.0064055133416
8,21.0774000287,0.41194665432,0.707100591716,0.904955621302,auto,3,5000,"{'max_features': 'auto', 'n_estimators': 5000, 'min_samples_leaf': 3}",3,0.692307692308,0.902366863905,0.692307692308,0.902366863905,0.715976331361,0.91124260355,0.727810650888,0.903846153846,0.262790670615,0.00842526401314,0.0153732320198,0.00367968726741
9,0.38205075264,0.0104900598526,0.693786982249,0.99926035503,log2,1,100,"{'max_features': 'log2', 'n_estimators': 100, 'min_samples_leaf': 1}",13,0.680473372781,0.998520710059,0.674556213018,1.0,0.710059171598,0.998520710059,0.710059171598,1.0,0.0143685418747,0.000156007799455,0.0164061190923,0.000739644970414
10,3.69758051634,0.0984230041504,0.693786982249,0.99926035503,log2,1,1000,"{'max_features': 'log2', 'n_estimators': 1000, 'min_samples_leaf': 1}",13,0.692307692308,0.998520710059,0.686390532544,1.0,0.710059171598,0.998520710059,0.686390532544,1.0,0.0409752073949,0.00161134647689,0.0097003528466,0.000739644970414
11,18.5406125784,0.475431740284,0.699704142012,0.99926035503,log2,1,5000,"{'max_features': 'log2', 'n_estimators': 5000, 'min_samples_leaf': 1}",8,0.704142011834,0.998520710059,0.686390532544,1.0,0.704142011834,0.998520710059,0.704142011834,1.0,0.238773948982,0.00443430283878,0.00768661600992,0.000739644970414
12,0.29758477211,0.00937378406525,0.693786982249,0.842455621302,log2,2,100,"{'max_features': 'log2', 'n_estimators': 100, 'min_samples_leaf': 2}",13,0.674556213018,0.844674556213,0.698224852071,0.847633136095,0.704142011834,0.829881656805,0.698224852071,0.847633136095,0.00657052801093,0.000338907397773,0.0113626416389,0.00735937453481
13,2.85522252321,0.0793004631996,0.698224852071,0.846893491124,log2,2,1000,"{'max_features': 'log2', 'n_estimators': 1000, 'min_samples_leaf': 2}",10,0.662721893491,0.844674556213,0.686390532544,0.85798816568,0.727810650888,0.83875739645,0.715976331361,0.846153846154,0.0122462532158,0.0019337599813,0.0254506664705,0.00697779669531
14,14.2657260299,0.398157775402,0.69674556213,0.84800295858,log2,2,5000,"{'max_features': 'log2', 'n_estimators': 5000, 'min_samples_leaf': 2}",12,0.674556213018,0.847633136095,0.680473372781,0.85650887574,0.727810650888,0.843195266272,0.704142011834,0.844674556213,0.0755753908839,0.0046548566253,0.0210766373503,0.00516428995702
15,0.284278512001,0.00919473171234,0.687869822485,0.79474852071,log2,3,100,"{'max_features': 'log2', 'n_estimators': 100, 'min_samples_leaf': 3}",16,0.656804733728,0.800295857988,0.668639053254,0.788461538462,0.710059171598,0.791420118343,0.715976331361,0.798816568047,0.00369487772987,0.00119260826295,0.0255793142985,0.00494788763323
