,mean_fit_time,mean_score_time,mean_test_score,mean_train_score,param_C,param_gamma,params,rank_test_score,split0_test_score,split0_train_score,split1_test_score,split1_train_score,split2_test_score,split2_train_score,split3_test_score,split3_train_score,std_fit_time,std_score_time,std_test_score,std_train_score
72,0.449266970158,0.0996497273445,0.601102941176,0.747685185185,46.415888336127729,4.6415888336127725e-07,"{'C': 46.415888336127729, 'gamma': 4.6415888336127725e-07}",93,0.632352941176,0.746296296296,0.617647058824,0.755555555556,0.573529411765,0.748148148148,0.580882352941,0.740740740741,0.00731779603516,0.00249617924227,0.0245939120593,0.0052988533066
73,0.505687296391,0.0977714657784,0.549632352941,0.949537037037,46.415888336127729,1.0000000000000001e-05,"{'C': 46.415888336127729, 'gamma': 1.0000000000000001e-05}",96,0.544117647059,0.951851851852,0.514705882353,0.942592592593,0.544117647059,0.955555555556,0.595588235294,0.948148148148,0.00498902154489,0.00188058995772,0.0291231241135,0.00478892612629
74,0.52510291338,0.127033770084,0.608455882353,0.968518518519,46.415888336127729,0.00021544346900318823,"{'C': 46.415888336127729, 'gamma': 0.00021544346900318823}",87,0.573529411765,0.97037037037,0.580882352941,0.968518518519,0.654411764706,0.97037037037,0.625,0.964814814815,0.00595706304622,0.00411982081099,0.0330371337419,0.00226804605813
75,0.528708994389,0.124050319195,0.636029411765,1.0,46.415888336127729,0.0046415888336127729,"{'C': 46.415888336127729, 'gamma': 0.0046415888336127729}",3,0.617647058824,1.0,0.632352941176,1.0,0.661764705882,1.0,0.632352941176,1.0,0.0049248959383,0.00285824179267,0.016025363763,0.0
76,0.520043671131,0.126429021358,0.636029411765,1.0,46.415888336127729,0.10000000000000001,"{'C': 46.415888336127729, 'gamma': 0.10000000000000001}",3,0.610294117647,1.0,0.639705882353,1.0,0.647058823529,1.0,0.647058823529,1.0,0.00587099419568,0.00242374587549,0.0151584765648,0.0
77,0.532250225544,0.130220115185,0.632352941176,1.0,46.415888336127729,2.154434690031878,"{'C': 46.415888336127729, 'gamma': 2.154434690031878}",8,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.0248004246785,0.00646293771027,0.0,0.0
78,0.527212262154,0.128953516483,0.632352941176,1.0,46.415888336127729,46.415888336127729,"{'C': 46.415888336127729, 'gamma': 46.415888336127729}",8,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.0144628071354,0.00552679240441,0.0,0.0
79,0.522298336029,0.126323461533,0.632352941176,1.0,46.415888336127729,1000.0,"{'C': 46.415888336127729, 'gamma': 1000.0}",8,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.00929953220821,0.00170803844661,0.0,0.0
80,0.454003214836,0.0987865328789,0.632352941176,0.633333333333,215.44346900318823,1.0000000000000001e-09,"{'C': 215.44346900318823, 'gamma': 1.0000000000000001e-09}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.0056419605861,0.00140371532047,0.0,0.0
81,0.451237022877,0.102378427982,0.645220588235,0.658796296296,215.44346900318823,2.1544346900318822e-08,"{'C': 215.44346900318823, 'gamma': 2.1544346900318822e-08}",1,0.661764705882,0.65,0.639705882353,0.662962962963,0.639705882353,0.655555555556,0.639705882353,0.666666666667,0.00666796739096,0.00166086008732,0.00955175077703,0.00646492594619
82,0.445713281631,0.098471224308,0.547794117647,0.821296296296,215.44346900318823,4.6415888336127725e-07,"{'C': 215.44346900318823, 'gamma': 4.6415888336127725e-07}",97,0.536764705882,0.814814814815,0.536764705882,0.82037037037,0.544117647059,0.831481481481,0.573529411765,0.818518518519,0.00859799220861,0.00486296813706,0.0151584765648,0.0062112999375
83,0.485028207302,0.093872487545,0.540441176471,0.968518518519,215.44346900318823,1.0000000000000001e-05,"{'C': 215.44346900318823, 'gamma': 1.0000000000000001e-05}",98,0.485294117647,0.968518518519,0.522058823529,0.966666666667,0.580882352941,0.966666666667,0.573529411765,0.972222222222,0.006715762029,0.0030185202601,0.0390814184292,0.00226804605813
84,0.526504933834,0.125567436218,0.606617647059,0.983796296296,215.44346900318823,0.00021544346900318823,"{'C': 215.44346900318823, 'gamma': 0.00021544346900318823}",88,0.566176470588,0.977777777778,0.573529411765,0.974074074074,0.647058823529,0.990740740741,0.639705882353,0.992592592593,0.004460646622,0.00363467296012,0.0369480721365,0.00800537799342
85,0.541050970554,0.132568478584,0.632352941176,1.0,215.44346900318823,0.0046415888336127729,"{'C': 215.44346900318823, 'gamma': 0.0046415888336127729}",8,0.610294117647,1.0,0.632352941176,1.0,0.654411764706,1.0,0.632352941176,1.0,0.0309986492586,0.00561048863374,0.0155979437026,0.0
86,0.534281671047,0.12489002943,0.636029411765,1.0,215.44346900318823,0.10000000000000001,"{'C': 215.44346900318823, 'gamma': 0.10000000000000001}",3,0.610294117647,1.0,0.639705882353,1.0,0.647058823529,1.0,0.647058823529,1.0,0.0168613733601,0.00145602027518,0.0151584765648,0.0
87,0.526182770729,0.124583423138,0.632352941176,1.0,215.44346900318823,2.154434690031878,"{'C': 215.44346900318823, 'gamma': 2.154434690031878}",8,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.00364736712749,0.00347947865383,0.0,0.0
88,0.517192542553,0.127533018589,0.632352941176,1.0,215.44346900318823,46.415888336127729,"{'C': 215.44346900318823, 'gamma': 46.415888336127729}",8,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.00741397211638,0.00270590466877,0.0,0.0
89,0.516882717609,0.123587489128,0.632352941176,1.0,215.44346900318823,1000.0,"{'C': 215.44346900318823, 'gamma': 1000.0}",8,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.632352941176,1.0,0.00368898479932,0.00352294392243,0.0,0.0
90,0.441900670528,0.10675829649,0.632352941176,0.633333333333,1000.0,1.0000000000000001e-09,"{'C': 1000.0, 'gamma': 1.0000000000000001e-09}",8,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.632352941176,0.633333333333,0.00463607553821,0.00239004807601,0.0,0.0
